Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Afghanistan,AFG,..,43.7000007629395,43.9000015258789,43.7000007629395,44.0999984741211,43.9000015258789,43.7000007629395,43.7999992370605,43.5,43.4000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Albania,ALB,..,53.7999992370605,49.0999984741211,48.5999984741211,47.5999984741211,47.2999992370605,47.4000015258789,47.4000015258789,46.2999992370605,46.2999992370605,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Algeria,DZA,..,30.7000007629395,36.9000015258789,37.9000015258789,38.4000015258789,38.7999992370605,39,38.9000015258789,39.5999984741211,40,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Angola,AGO,..,66.4000015258789,64.5999984741211,64.3000030517578,64.5999984741211,64.9000015258789,65,65.0999984741211,65.0999984741211,65.3000030517578,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Argentina,ARG,..,49.2000007629395,56.5999984741211,56.7000007629395,56,55.7999992370605,56.2000007629395,56.2999992370605,56.5,55.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Armenia,ARM,..,52.4000015258789,42.2000007629395,48.9000015258789,48.0999984741211,49.9000015258789,51.5,52.0999984741211,53.2000007629395,52.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Australia,AUS,..,59.4000015258789,62.5,62.9000015258789,61.9000015258789,62.2000007629395,62.2999992370605,61.9000015258789,61.5,61.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Austria,AUT,..,56,57.7999992370605,58.2999992370605,57.9000015258789,57.9000015258789,58.2000007629395,58.2999992370605,58,57.9000015258789,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Azerbaijan,AZE,..,56.5,60.0999984741211,60.4000015258789,61.0999984741211,60.9000015258789,61.5,62.2000007629395,62.7999992370605,63.2000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,"Bahamas, The",BHS,..,65.4000015258789,67.5,67.3000030517578,63.5,63.2000007629395,64,63.7000007629395,62.0999984741211,62.7000007629395,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bahrain,BHR,..,62.7000007629395,64.5,66.8000030517578,67.3000030517578,68,67.8000030517578,67.9000015258789,67.5999984741211,67.1999969482422,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Bangladesh,BGD,..,68.4000015258789,67.6999969482422,67.5999984741211,67.1999969482422,67.5,67.5999984741211,67.5999984741211,67.6999969482422,67.8000030517578,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Barbados,BRB,..,63.2000007629395,65.5999984741211,65.1999969482422,64.0999984741211,63.5,63.2999992370605,63,63,62.5999984741211,..,..
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,Belarus,BLR,..,54.5999984741211,52,51.7000007629395,51.2999992370605,51.5999984741211,52,52.4000015258789,52.7000007629395,52.9000015258789,..,..
