Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Albania,ALB,..,..,..,..,34.4000015258789,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Algeria,DZA,..,..,..,..,..,..,12.3000001907349,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,American Samoa,ASM,3.79999995231628,..,..,..,..,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Antigua and Barbuda,ATG,..,..,4.40000009536743,4.40000009536743,..,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Argentina,ARG,0.5,1,1.29999995231628,1.79999995231628,0.899999976158142,4.59999990463257,4.69999980926514,0.800000011920929,0.899999976158142,0.800000011920929,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Armenia,ARM,..,..,43.5,30.7000007629395,34,31.3999996185303,32.7999992370605,31,28.7000007629395,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Aruba,ABW,..,0.800000011920929,0.899999976158142,..,..,1,0.800000011920929,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Australia,AUS,6.69999980926514,6,4.19999980926514,4.09999990463257,4.09999990463257,4,3.59999990463257,3.70000004768372,3.40000009536743,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Austria,AUT,6.80000019073486,5.30000019073486,4.69999980926514,4.5,4.59999990463257,4.69999980926514,4.5,4.40000009536743,4.19999980926514,4.40000009536743,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Azerbaijan,AZE,..,36.4000015258789,39.5,36.7999992370605,32.5,32.2999992370605,32.2000007629395,31.7999992370605,31.1000003814697,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,"Bahamas, The",BHS,..,..,4.19999980926514,4.90000009536743,5.09999990463257,..,5.59999990463257,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Bahrain,BHR,..,..,..,..,..,1.29999995231628,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Bangladesh,BGD,..,53.2999992370605,..,..,..,40.0999984741211,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Barbados,BRB,6.90000009536743,4.09999990463257,..,..,..,3.79999995231628,4.40000009536743,3.40000009536743,3.70000004768372,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Belarus,BLR,..,..,..,..,13.1000003814697,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Belgium,BEL,3.79999995231628,2.29999995231628,2.20000004768372,1.89999997615814,1.79999995231628,1.70000004768372,1.60000002384186,1.5,1.70000004768372,1.39999997615814,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Belize,BLZ,..,..,..,..,..,..,..,..,..,..,..,..
"Employment in agriculture, male (% of male employment)",SL.AGR.EMPL.MA.ZS,Benin,BEN,..,..,..,..,..,53.2000007629395,..,..,..,..,..,..
